cct_id,cct_city,cct_date,cct_card_type,cct_exp_type,cct_gender,cct_amount
1,"Delhi, India",29-Oct-14,Gold,Bills,F,82475
2,"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,32555
3,"Bengaluru, India",27-Aug-14,Silver,Bills,F,101738
4,"Greater Mumbai, India",12-Apr-14,Signature,Bills,F,123424
5,"Bengaluru, India",05-May-15,Gold,Bills,F,171574
6,"Delhi, India",08-Sep-14,Silver,Bills,F,100036
7,"Delhi, India",24-Feb-15,Gold,Bills,F,143250
8,"Greater Mumbai, India",26-Jun-14,Platinum,Bills,F,150980
9,"Delhi, India",28-Mar-14,Silver,Bills,F,192247
10,"Delhi, India",01-Sep-14,Platinum,Bills,F,67932
11,"Delhi, India",22-Jun-14,Platinum,Bills,F,280061
12,"Greater Mumbai, India",07-Dec-13,Signature,Bills,F,278036
13,"Greater Mumbai, India",07-Aug-14,Gold,Bills,F,19226
14,"Delhi, India",27-Apr-14,Signature,Bills,F,254359
15,"Greater Mumbai, India",15-Aug-14,Signature,Bills,F,302834
16,"Greater Mumbai, India",28-Nov-14,Platinum,Bills,F,647116
17,"Greater Mumbai, India",14-Jun-14,Signature,Bills,F,421878
18,"Greater Mumbai, India",30-Mar-15,Gold,Bills,F,986379
19,"Greater Mumbai, India",15-Mar-14,Platinum,Bills,F,213047
20,"Greater Mumbai, India",09-Nov-13,Platinum,Bills,F,735566
21,"Delhi, India",04-Apr-14,Signature,Bills,F,366102
22,"Delhi, India",01-Jul-14,Signature,Bills,F,809623
23,"Greater Mumbai, India",27-Mar-15,Silver,Bills,F,467014
24,"Ahmedabad, India",11-Oct-13,Gold,Bills,F,668568
25,"Ahmedabad, India",26-Mar-14,Gold,Bills,F,339112
26,"Delhi, India",27-Sep-14,Silver,Bills,F,622170
27,"Bengaluru, India",23-Mar-14,Platinum,Bills,F,434427
28,"Greater Mumbai, India",17-May-14,Signature,Bills,F,655846
29,"Bengaluru, India",18-Jan-15,Platinum,Bills,F,987935
30,"Delhi, India",18-Apr-15,Gold,Bills,F,702774
31,"Bengaluru, India",31-Jul-14,Signature,Bills,F,225392
32,"Greater Mumbai, India",11-Feb-15,Gold,Bills,F,296573
33,"Ahmedabad, India",24-Nov-13,Platinum,Bills,F,227702
34,"Ahmedabad, India",08-Nov-14,Gold,Bills,F,864090
35,"Ahmedabad, India",06-Sep-14,Signature,Bills,F,440605
36,"Ahmedabad, India",24-Mar-15,Platinum,Bills,F,954660
37,"Ahmedabad, India",01-Jan-14,Signature,Bills,F,255577
38,"Ahmedabad, India",12-Jul-14,Silver,Bills,F,337352
39,"Ahmedabad, India",04-Feb-14,Platinum,Bills,F,660244
40,"Delhi, India",03-Feb-15,Silver,Bills,F,401351
41,"Delhi, India",27-Oct-13,Platinum,Bills,F,678842
42,"Delhi, India",11-May-14,Gold,Bills,F,478861
43,"Bengaluru, India",10-Nov-14,Platinum,Bills,F,804938
44,"Delhi, India",30-Jan-15,Silver,Bills,F,888341
45,"Bengaluru, India",19-Apr-14,Platinum,Bills,F,262414
46,"Bengaluru, India",08-Sep-14,Gold,Bills,F,249353
47,"Ahmedabad, India",10-Dec-13,Gold,Bills,F,892016
48,"Ahmedabad, India",04-Nov-13,Platinum,Bills,F,313626
49,"Greater Mumbai, India",01-Jun-14,Gold,Bills,F,314366
50,"Greater Mumbai, India",27-Apr-14,Signature,Bills,F,551340
51,"Delhi, India",04-Oct-13,Signature,Bills,F,735037
52,"Greater Mumbai, India",31-Dec-14,Platinum,Bills,F,574023
53,"Ahmedabad, India",21-Dec-13,Signature,Bills,F,402300
54,"Delhi, India",07-Dec-13,Signature,Bills,F,733125
55,"Greater Mumbai, India",07-Feb-14,Signature,Bills,F,545977
56,"Bengaluru, India",13-May-15,Silver,Bills,F,371572
57,"Ahmedabad, India",28-Jan-15,Signature,Bills,F,326283
58,"Delhi, India",09-Dec-14,Platinum,Bills,F,279051
59,"Delhi, India",08-Oct-13,Platinum,Bills,F,900101
60,"Ahmedabad, India",24-Apr-14,Silver,Bills,F,545286
61,"Delhi, India",13-Jan-15,Platinum,Bills,F,722587
62,"Bengaluru, India",14-Mar-14,Platinum,Bills,F,411062
63,"Delhi, India",27-Feb-14,Platinum,Bills,F,660910
64,"Greater Mumbai, India",29-Oct-13,Signature,Bills,F,557370
65,"Greater Mumbai, India",22-Jun-14,Platinum,Bills,F,549794
66,"Delhi, India",23-Jan-14,Platinum,Bills,F,340133
67,"Bengaluru, India",10-Nov-13,Gold,Bills,F,265417
68,"Greater Mumbai, India",13-Dec-13,Platinum,Bills,F,358185
69,"Greater Mumbai, India",22-Mar-14,Gold,Bills,F,991685
70,"Greater Mumbai, India",13-Jan-15,Gold,Bills,F,533762
71,"Greater Mumbai, India",08-May-14,Gold,Bills,F,829742
72,"Delhi, India",18-Feb-14,Silver,Bills,F,441527
73,"Delhi, India",04-Oct-13,Signature,Bills,F,550782
74,"Greater Mumbai, India",14-Jun-14,Platinum,Bills,F,835872
75,"Ahmedabad, India",24-Aug-14,Silver,Bills,F,540497
76,"Greater Mumbai, India",02-Apr-15,Platinum,Bills,F,525977
77,"Greater Mumbai, India",27-Jun-14,Gold,Bills,F,789393
78,"Greater Mumbai, India",06-Feb-15,Platinum,Bills,F,689478
79,"Bengaluru, India",29-Mar-14,Silver,Bills,F,499079
80,"Ahmedabad, India",22-Apr-14,Platinum,Bills,F,665107
81,"Greater Mumbai, India",14-Oct-14,Platinum,Bills,F,998077
82,"Ahmedabad, India",02-Feb-14,Silver,Bills,F,934205
83,"Bengaluru, India",01-Apr-15,Platinum,Bills,F,823426
84,"Ahmedabad, India",13-Jan-15,Signature,Bills,F,282910
85,"Bengaluru, India",27-Mar-14,Gold,Bills,F,418675
86,"Ahmedabad, India",17-Feb-15,Silver,Bills,F,804949
87,"Bengaluru, India",10-Feb-15,Gold,Bills,F,686601
88,"Greater Mumbai, India",26-Feb-14,Silver,Bills,F,561220
89,"Greater Mumbai, India",07-May-15,Gold,Bills,F,762534
